Measures
atan2 beta 143.746165 val :0.000000 
atan2 beta 141.340194 val :0.000000 
atan2 beta 139.085619 val :0.000000 
atan2 beta 136.974936 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.152392 val :0.000000 
atan2 beta 131.423668 val :0.000000 
atan2 beta 129.805573 val :0.000000 
atan2 beta 128.290165 val :0.000000 
atan2 beta 126.869900 val :0.000000 
atan2 beta 125.537680 val :0.000000 
atan2 beta 124.286879 val :0.000000 
atan2 beta 123.111344 val :0.000000 
atan2 beta 122.005385 val :0.000000 
atan2 beta 120.963759 val :0.000000 
atan2 beta -119.248828 val :0.000000 
atan2 beta -120.256439 val :0.000000 
atan2 beta -121.328695 val :0.000000 
atan2 beta -122.471194 val :0.000000 
atan2 beta -123.690070 val :0.000000 
atan2 beta -124.992022 val :0.000000 
atan2 beta -126.384354 val :0.000000 
atan2 beta -127.874986 val :0.000000 
atan2 beta -129.472462 val :0.000000 
atan2 beta -131.185927 val :0.000000 
atan2 beta -133.025068 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -137.121099 val :0.000000 
atan2 beta -139.398708 val :0.000000 
atan2 beta -141.842776 val :0.000000 
atan2 beta -144.462325 val :0.000000 
atan2 beta -147.264776 val :0.000000 
atan2 beta -150.255121 val :0.000000 
atan2 beta -153.434951 val :0.000000 
atan2 beta -156.801412 val :0.000000 
atan2 beta -160.346179 val :0.000000 
atan2 beta -164.054607 val :0.000000 
atan2 beta -167.905246 val :0.000000 
atan2 beta -171.869901 val :0.000000 
atan2 beta -175.914386 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 175.914386 val :0.000000 
atan2 beta 171.869901 val :0.000000 
atan2 beta 167.905246 val :0.000000 
atan2 beta 164.054607 val :0.000000 
atan2 beta 160.346179 val :0.000000 
atan2 beta 156.801412 val :0.000000 
atan2 beta 153.434951 val :0.000000 
atan2 beta 150.255121 val :0.000000 
atan2 beta 147.264776 val :0.000000 
atan2 beta 144.462325 val :0.000000 
atan2 beta 141.842776 val :0.000000 
atan2 beta 139.398708 val :0.000000 
atan2 beta 137.121099 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.025068 val :0.000000 
